title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2380,เด็กใหม่ห้องคิง,DRAMA,"ซงแชยุน,ชินแจยอง",SUNDAY,70,202044,9.84,10449007,475937,ONGOING,False,"""ย่านนี้มันเป็นบ้าอะไร...? เด็กทุกคนเรียนล่วงหน้ากันหมด หนูเรียนตามไม่ทันเลย... ที่โรงเรียนก็ไม่ยอมสอน ที่กวดวิชาก็ไม่ยอมสอน... หนูต้องเข้าคณะแพทย์นะ..."""
2374,เมนูป่วนก๊วนกระทะเหล็ก,DRAMA,ส้มฉุน,THURSDAY,66,63460,8.57,3609808,171316,ONGOING,False,หนูแฮม ลูกสาวเชฟชื่อดังระดับโลก ผู้ใฝ่ฝันอยากเป็นเชฟตามพ่อของเธอ แต่เธอกลับมีปํญหากวนใจอยู่นิดเดียว คือ เธอกลัวน้ำมัน กลัวน้ำเดือด กลัวมีดบาด เกลียดกลิ่นคาวปลา ไม่มีแรงแม้แต่จะยกกระทะ !!
2373,RAIN วันที่ฝนเผาใจ,ROMANCE,"Queen B,Mungonfly",TUESDAY,3,74561,9.57,2589817,140862,COMPLETED,True,เมื่อวันวิวาห์ที่ฝันกลับล่มลงอย่างไม่มีสาเหตุ 'ซอล' จึงตัดสินใจหอบหัวใจช้ำๆ กลับมาบ้านเกิด แต่แล้วโลกก็เหวี่ยงเธอให้มาพบผู้ชาย 3 คนที่ทำให้เธอต้องใจเต้น เธอจะทำอย่างไรกับมรสุมรักที่ไม่มีทางหยุดนี้ แล้วใครจะเป็นคนสุดท้ายที่รออยู่เมื่อม่านฝนซา
2356,Return To Player,FANTASY,"เซฮน,Index",THURSDAY,62,207284,9.8,12436980,373194,ONGOING,False,เมื่อ 10 ปีก่อนโลกใบนี้ได้กลายมาเป็นฉากของ 'เกม' พวกเราได้กลายมาเป็น 'ผู้เล่น' ของเกมนั้นและต้องฆ่ามอนสเตอร์เพื่อเอาชีวิตรอด และผลลัพธ์คือ...การล่มสลายของมนุษยชาติ
2355,เจ้าหนุ่มพลังถอด,COMEDY,ยุนโซฮัม,SATURDAY,69,38840,8.41,1698419,51764,ONGOING,False,คังฮาจิน เด็กหนุ่มแสนธรรมดาผู้มีความใฝ่ฝันอยากจะเป็นฮีโร่ วันหนึ่งพลังพิเศษสุดประหลาดของเขาได้ตื่นขึ้นมา เมื่อใครสัมผัสมือจะถูกเปลื้องผ้าจนเปลือยเปล่าทันที แล้วแบบนี้ฮาจินจะเป็นฮีโร่สุดเท่อย่างที่หวังได้หรือไม่!? 
2354,เบ้าหน้าฟ้าประทาน,DRAMA,จีเอ,FRIDAY,70,172638,9.58,8532395,303000,ONGOING,False,ใบหน้าที่แม้แต่เด็กที่กำลังร้องไห้ยังต้องหยุดร้อง ตั้งแต่หัวจรดเท้าที่ทุกสายตาต่างจับจ้องแม้อยู่ท่ามกลางสายฝน ผู้ชายที่ทำให้ความเร่งรีบบนท้องถนนหยุดซะงักเสมอ คนคนนั้นก็คือผม จอนจีอุง
2353,บันทึกรักของแม่มดกับนายมังกร,ROMANTIC_FANTASY,"Dimang,New lung,Baridal",WEDNESDAY,67,336434,9.75,15924071,634086,ONGOING,False,"""เวนดี้ บลันเชตต์"" แม่มดผู้เป็นอัจฉริยะโดยกำเนิดตกอยู่ในวังวนอันน่าอัปยศ"
2342,BAD GUY,COMEDY,ดุมส์,THURSDAY,71,362008,9.84,25618618,604708,ONGOING,False,คังจีอุงใช้ชีวิตเป็นคนดีมาตลอด 10 ปีเพราะซูจิน คนที่เขาชอบเคยบอกว่าชอบคนดี แต่หลังจากเห็นซูจินคบกับเด็กเกเร จีอุงก็ตัดสินใจใหม่ ว่าจะพยายามเป็นคนเลวกว่าคนที่ซูจินคบให้ได้!
2341,เมื่อซินเดอเรลล่าตื่นจากฝัน,ROMANCE,"ซันชา,ไอโกเม",TUESDAY,71,88521,9.37,2847454,122782,ONGOING,False,2 เดือนหลังจากฮายุนซอรู้ว่าซอจูวอนแฟนของเธอเป็นทายาทมหาเศรษฐี แม่ของซอจูวอนก็ใช้เงินจ้างเธอเพื่อให้ทั้งสองคนเลิกกัน ฮายุนซอจึงจำเป็นต้องทำทุกทางเพื่อเลิกกับเขา แต่ซอจูวอนกลับพยายามที่จะเปลี่ยนใจเธอ...
2340,เกลียดนักต้องมารักคนอย่างเธอ,ROMANCE,"Egg Burge,bless",TUESDAY,69,124093,9.36,4413167,155305,COMPLETED,False,กงเสี่ยวยู่ กับ หวงอีอี เป็นคู่แต่งงานที่อยู่ในช่วงหมดโปรโมชัน แต่การบอกเลิกกะทันหันของหวงอีอีกับอุบัติเหตุไม่คาดฝัน ทำให้ชีวิตของทั้งคู่เปลี่ยนแปลงไป
